	File Name	First Author	Publication Year	Study Description	Study Title
11	00011_11999_2015_Article_4278.csv	Elizabeth W Paxton	2015	Therefore, the purpose of our study was to examine the rate of hospital readmissions after primary THA as well as the reasons for readmission and the modifiable and nonmodifiable risk factors for hospital readmissions in a large, integrated healthcare system using current perioperative care protocols.	Clinical Orthopaedics and Related Research, The Bone & Joint Journal, The Journal of Orthopaedic Research, and The Journal of Bone and Joint Surgery will not accept clinical research manuscripts previously posted to preprint servers
12	00012_121333.csv	A B Kimball	2008	We assessed the relationship of psoriasis with CVDR by analysis of healthcare claims data using a cross-sectional, prevalence-based study design.	Cardiovascular disease and risk factors among psoriasis patients in two US healthcare databases, 2001-2002
13	00013_12325_2016_Article_283.csv	Qiufei Ma	2016	This study aimed to describe patterns of ILP/ILI use and estimate associated costs in patients with regional metastatic melanoma in the US.	Use Patterns and Costs of Isolated Limb Perfusion and Infusion in the Treatment of Regional Metastatic Melanoma: A Retrospective Database Analysis
14	00014_12325_2020_Article_1361.csv	Stephanie J Estes	2020	To compare all-cause and endometriosis-related healthcare resource utilization (HCRU) and healthcare costs by service categories (outpatient, inpatient, emergency room [ER], pharmacy) among patients with newly diagnosed endometriosis using opioids compared to patients with endometriosis not using opioids.	Healthcare Resource Use and Costs Associated with Opioid Initiation Among Patients with Newly Diagnosed Endometriosis with Commercial Insurance in the USA
15	00015_12325_2020_Article_1537.csv	James V Hennessey	2020	The purpose of the present study was to compare the clinical outcomes of two cohorts of patients with hypothyroidism treated with LT4 over a 2-year follow-up period: those who switched from Synthroid (AbbVie, Inc.) to an alternative formulation of LT4 and those who were continuous users of Synthroid. The outcomes of interest included the likelihood of having an out-of-range TSH level and the odds of being diagnosed with additional comorbidities.	The Association Between Switching from Synthroid ® and Clinical Outcomes: US Evidence from a Retrospective Database Analysis
16	00016_12879_2015_Article_1262.csv	Barbara H Johnson	2015	The objective of the current study is to estimate the overall and age- and gender-specific incidence rates (IRs) of HZ among an immunocompetent US population in 2011 following availability of a vaccine.	Annual incidence rates of herpes zoster among an immunocompetent population in the United States
17	00017_12879_2015_Article_1269.csv	Cristina Masseria	2015	The aim of this study was to estimate the incidence of private practitioner-attended cough illness that could be attributed to Bordetella pertussis in adults aged ?50 years in the US.	The estimated incidence of pertussis in people aged 50 years old in the United States, 2006-2010
18	00018_12884_2020_Article_2722.csv	Hyewon Lee 	2020	This study aimed to examine the different levels of association between preterm birth and major medical co-morbidities among various racial/ethnic women enrolled in Medicaid.	Different levels of associations between medical co-morbidities and preterm birth outcomes among racial/ethnic women enrolled in Medicaid 2014-2015: retrospective analysis
19	00019_12889_2019_Article_6505.csv	Gina Oda	2019	Our study aims to use electronic health record data to describe the epidemiology of CO poisoning in the Veterans Health Administration healthcare population.	Carbon monoxide poisoning surveillance in the Veterans Health Administration, 2010-2017
20	00020_12889_2019_Article_6508.csv	Luis Quiel 	2019	The aims of this study were to determine the geographic and time variation of social determinants of health (SDH) and cardiovascular disease (CVD) mortality in Panama from 2012 to 2016, and to identify which of the SDH has the strongest correlation with a socioeconomic index (SEI).	Social determinants and cardiovascular disease mortality in Panama, 2012-2016
21	00021_12890_2015_Article_165.csv	Karina Raimundo	2016	This study aimed to characterize the prevalence, and economic and health care burden of IPF.	Clinical and economic burden of idiopathic pulmonary fibrosis: a retrospective cohort study
22	00022_12890_2018_Article_678.csv	Michael S. Broder	2018	The study objective was to update incidence and prevalence information for lung NET using administrative claims	Incidence and prevalence of neuroendocrine tumors of the lung: analysis of a US commercial insurance claims database
23	00023_12890_2018_Article_759.csv	Kathleen Mortimer	2019	This study characterizes demographics, health care utilization, and comorbidities among elderly IPF patients and estimates prevalence and incidence rates for selected outcomes.	Characterizing idiopathic pulmonary fibrosis patients using US Medicare-advantage health plan claims data
24	00024_12891_2017_Article_1626.csv	Medha Barbhaiya	2017	The aim of this study was to evaluate performance characteristics of a claims-based algorithm designed to identify AVN cases in administrative data.	Administrative Algorithms to identify Avascular necrosis of bone among patients undergoing upper or lower extremity magnetic resonance imaging: a validation study
25	00025_12913_2017_Article_2259.csv	Donnie Funch	2017	The objective of this study was to develop and evaluate algorithms using administrative medical claims data for identification of incident thyroid cancer.	Performance of claims-based algorithms for identifying incident thyroid cancer in commercial health plan enrollees receiving antidiabetic drug therapies
26	00026_12913_2018_Article_3016.csv	Florence T. Wang	2018	We aim to quantify the validity of diagnostic codes for serious hypocalcemia and dermatologic adverse events from insurance claims data among women with postmenopausal osteoporosis (PMO).	Predictive values of diagnostic codes for identifying serious hypocalcemia and dermatologic adverse events among women with postmenopausal osteoporosis in a commercial health plan database
27	00027_12913_2018_Article_3407.csv	Adam W. Gaffney	2018	Using a large inpatient administrative database, we investigated disparities by insurance and socioeconomic status (SES) for a range of clinical interventions and outcomes among patients hospitalized in the United States with pulmonary fibrosis.	Disparities in pulmonary fibrosis care in the United States: an analysis from the Nationwide Inpatient Sample
28	00028_12913_2020_Article_5054.csv	Marcia Sellos-Moura	2020	This study compared characteristics, healthcare use and costs, and projected prevalence between patients with diagnosed HCU, elevated total homocysteine (tHcy), and diagnosed phenylketonuria (PKU).	Prevalence, characteristics, and costs of diagnosed homocystinuria, elevated homocysteine, and phenylketonuria in the United States: a retrospective claims-based comparison
29	00029_12913_2020_Article_5484.csv	Kimberly P. Hreha	2020	The objective of this study was to determine the patterns of use of ICD-10 codes to identify vision or eye problems in a national stroke cohort	Use of the ICD-10 vision codes to study ocular conditions in Medicare beneficiaries with stroke
30	00030_13023_2018_Article_949.csv	Bruce Cohen	2018	This study describes the health care utilization and cost in patients diagnosed with MD	A retrospective analysis of health care utilization for patients with mitochondrial disease in the United States: 2008–2015
31	00031_13023_2020_Article_1623.csv	Montserrat Vera?Llonch	2021	The study’s objective was to examine patient clinical characteristics and healthcare utilization prior to ATTRv amyloidosis diagnosis.	The patient journey toward a diagnosis of hereditary transthyretin (ATTRv) amyloidosis
32	00032_13075_2020_Article_2310.csv	Jeffrey R. Curtis	2020	We examined coding behaviors and the validity of the M05 and M06 ICD-10 codes compared to the gold standard of lab test results in both a large national U.S. rheumatology registry, the American College of Rheumatology’s (ACR) Rheumatology Informatics System for Effectiveness (RISE), and the large U.S. administrative database, MarketScan.	Use of ICD-10 diagnosis codes to identify seropositive and seronegative rheumatoid arthritis when lab results are not available
33	00033_13555_2016_Article_153.csv	April W Armstrong	2016	We used health plan claims data to determine overall treatment patterns and areas of under-treatment in insured US patients with moderate to severe plaque psoriasis over a 5-year period. In this study, we investigated whether patients with moderate to severe psoriasis are under-treated.	Under-Treatment of Patients with Moderate to Severe Psoriasis in the United States: Analysis of Medication Usage with Health Plan Data
34	00034_1471-230X-6-26.csv	J Alexander Cole	2006	To address the validity concerns in previous research, we sought to examine the prevalence of other disorders, specifically migraine, fibromyalgia, and depression in cohorts of people with IBS and without IBS.	"Migraine, fibromyalgia, and depression among people with IBS: a
prevalence study"
35	00035_1471-2377-13-160.csv	James R Williams	2013	This exploratory analysis was conducted to better characterize the pre-diagnosis pathway undertaken by patients with ALS in the US Centers for Medicare & Medicaid Services Medicare longitudinal claims database.	Diagnosis pathway for patients with amyotrophic lateral sclerosis: retrospective analysis of the US Medicare longitudinal claims database
36	00036_1471-2431-13-90.csv	Jessica Leung	2013	The objective of this study was to determine, in the absence of recommendations for routine screening for congenital CMV infection or disease, rates of coding for CMV diagnosis and testing among insured infants less than one month of age in the United States using a large national healthcare claims database.	Laboratory testing and diagnostic coding for cytomegalovirus among privately insured infants in the United States: a retrospective study using administrative claims data
37	00037_15-0417.csv	Christina A. Nelson	2015	We used information from a large, nationwide medical claims database to 1) describe the epidemiology of LD diagnosed by clinicians, 2) identify similarities and differences with surveillance data, and 3) estimate the number of LD cases per year in the United States.	Incidence of Clinician-Diagnosed Lyme Disease, United States, 2005–2010
38	00038_16-0115.csv	Christina A. Nelson	2016	To better define the current epidemiology and burden of CSD in the United States, we analyzed a large medical claims database to 1) describe national patterns of cliniciandiagnosed CSD among inpatients and outpatients, 2) evaluate changes in disease patterns during the study period, and 3) identify demographic groups at higher risk for CSD.	Cat-Scratch Disease in the United States, 2005–2013
39	00039_18.211.csv	Shashank Garg	2019	This study used an insurance claims database to evaluate the 1) incidence of PA in adult patients with CP and 2) factors associated with the development of PA in adults with CP.	Factors Related to Development of Pancreatic Adenocarcinoma in Patients With Chronic Pancreatitis on Long-term Follow-up: A Database Study
40	00040_19-1493.csv	Manish Patel	2020	In this study, we created and used case definitions for immunosuppressive conditions by using a modified version of an algorithm implemented by previous investigators (20). Our primary objective was to determine the prevalence of immunosuppressive conditions in the US population among MarketScan (Truven Health MarketScan, https://marketscan.truvenhealth.com) enrollees <65 years of age	Analysis of MarketScan Data for Immunosuppressive Conditions and Hospitalizations for Acute Respiratory Illness, United States
41	00041_198_2014_Article_2971.csv	M M Bonafede	2015	The objective of this study was to describe the risk of fragility-related fractures in the 2 years following teriparatide initiation	"Teriparatide treatment patterns in osteoporosis and subsequent
fracture events: a US claims analysis"
42	00042_2017_20_E257-E268.csv	Kelly Ryan Murphy	2017	The aim of this study was to determine the modern-day prevalence of individual types of pain diagnoses in adults.	Prevalence of Specific Types of Pain Diagnoses in a Sample of United States Adults
43	00043_2309499019888552.csv	Mark C Dougherty	2019	Here, we aim to clarify trends in the frequency of SLAP tear diagnosis and arthroscopic SLAP repair surgery in the United States.	National trends in the diagnosis and repair of SLAP lesions in the United States
44	00044_40120_2020_Article_194.csv	Sheila R. Reddy	2020	The study’s aim was to estimate costs and disease burden associated with ATTRv amyloidosis in a real-world setting.	The Clinical and Economic Burden of Newly Diagnosed Hereditary Transthyretin (ATTRv) Amyloidosis: A Retrospective Analysis of Claims Data
45	00045_403_2013_Article_1357.csv	Stacey Dacosta Byfield	2013	In an effort to better comprehend the epidemiology of NMSC, this study characterizes the incidence and prevalence of locally advanced and metastatic NMSC in a privately insured population.	Age distribution of patients with advanced non-melanoma skin cancer in the United States
46	00046_40744_2019_Article_148.csv	Theresa Hunter	2019	The objective of this study was to describe treatment patterns (persistence, discontinuations, and switch) in the 2 years following the initiation of tumor necrosis factor inhibitors (TNFi) therapy in AS patients.	Persistence, Discontinuation, and Switching Patterns of Newly Initiated TNF Inhibitor Therapy in Ankylosing Spondylitis Patients in the United States
47	00047_41030_2019_Article_98.csv	Beth Hahn	2019	The objective of this multivariable analysis of a previously reported claims-linked, crosssectional survey study [11] was to determine demographic, sociodemographic, and clinical characteristics that are predictors of higher symptom burden (as measured by the CAT), in an insured US population of patients with COPD receiving treatment with LAMA monotherapy	Predictors of Symptom Burden in Patients with COPD on LAMA Monotherapy: Multivariable Analysis of a Claims-Linked Survey Study
48	00048_41030_2019_Article_99.csv	Riju Ray	2019	"This post hoc exploratory analysis
of this study [study 205862 (HO-16-16642)] [16]
classified patients with COPD receiving LAMA monotherapy according to the categories of
exacerbation risk and patient-reported symptom
severity described in the GOLD 2017 report [8]."	Classification of Patients with COPD on LAMA Monotherapy Using the GOLD Criteria: Analysis of a Claims-Linked Patient Survey Study
49	00049_41398_2020_Article_1032.csv	Dominic Oliver	2020	 This study aims to investigate the international external validity of the original transdiagnostic, clinicallybased, individualized risk calculator using large scale EHRs from the US.	Transdiagnostic individualized clinically-based risk calculator for the automatic detection of individuals at-risk and the prediction of psychosis: external replication in 2,430,333 US patients
50	00050_41598_2020_Article_66668.csv	Neil Dhopeshwarkar	2020	This study examined the comparative risk of SCA/VA among users of individual second-generation sulfonylureas in two independent US populations	Risk of sudden cardiac arrest and ventricular arrhythmia with sulfonylureas: An experience with conceptual replication in two independent populations
51	00051_41669_2019_Article_185.csv	Sreevalsa Appukkuttan	2019	This study was a retrospective review of claims data that aimed to assess how costs and HCRU changed as prostate cancer progressed to metastatic disease by examining the annualized HCRU and costs associated with both nmCRPC and mCRPC. This information may be useful in informing economic models as future treatments of nmCRPC are investigated.	"A Retrospective Claims Analysis of Advanced Prostate Cancer Costs
and Resource Use"
52	00052_41927_2019_Article_86.csv	Jessica Walsh	2019	This study aimed to analyze the diagnostic prevalence rates and treatment patterns of male and female AS patients in the United States adult insured population from 2006 to 2016.	Trends in diagnostic prevalence and treatment patterns of male and female ankylosing spondylitis patients in the United States, 2006–2016
53	00053_41927_2020_Article_138.csv	Santhi Mantravadi	2020	 The goal of this study was to determine whether HbA1c improves in DM patients with RA, PsA, or AS initiating a TNFi compared to patients initiating MTX in a large realworld cohort	Impact of tumor necrosis factor inhibitors and methotrexate on diabetes mellitus among patients with inflammatory arthritis
54	00054_ACR2-3-72.csv	Hemin Lee	2021	The objective of this study was to validate claims-based algorithms for identifying acute giant cell arteritis (GCA) that will help generate real-world evidence on comparative effectiveness research and epidemiologic studies	Identification of Acute Giant Cell Arteritis in Real-World Data Using Administrative Claims-Based Algorithms
55	00055_AJMC1999octZhao1285_95.csv	Sean Z. Zhao	1999	To compare gastrointestinal-related healthcare resource utilization in arthritis patients with and without dyspepsia.	Healthcare Utilization Associated With Dyspepsia in Patients With Arthritis
56	00056_AORTH2019-9013935.csv	Mark C. Dougherty	2019	We hypothesized that both isolated SLAP repair and secondary SLAP repair increased with time and that patient age influenced the pathway to SLAP diagnosis and surgery—such that younger patients were more likely to have isolated SLAP repair surgery after being diagnosed in clinic.	Not All SLAPs Are Created Equal: A Comparison of Patients with Planned and Incidental SLAP Repair Procedures
57	00057_Accuracy_of_Medical_Claims_for_Identifying_Cardiovascular_and_Bleeding_Events_After_Myocardial_Infarction.csv	Patricia O. Guimarães	2017	Our objectives were to (1) compare medical claims–identified vs physician-adjudicated cumulative incidence of recurrentMI, stroke, and bleeding events within 1 year after MI and (2) assess the accuracy of claimsidentified events using physician adjudication as the criterion standard.	Accuracy of Medical Claims for Identifying Cardiovascular and Bleeding Events After Myocardial Infarction
58	00058_AnnalsATS.201804-236OC.csv	Kevin L. Winthrop	2020	To estimate the yearly incidence and prevalence of administrative claims–based NTM lung disease between 2008 and 2015 in a U.S. managed care claims database.	Incidence and Prevalence of Nontuberculous Mycobacterial Lung Disease in a Large U.S. Managed Care Health Plan, 2008–2015
59	00059_Appropriateness_of_outpatient_antibiotic_prescribing_among_privately_insured_US_patients__ICD-10-CM_based_cross_sectional_study.csv	Kao-Ping Chua	2019	To assess the appropriateness of outpatient antibiotic prescribing for privately insured children and nonelderly adults in the US using a comprehensive classification scheme of diagnosis codes in ICD-10-CM (international classification of diseases-clinical modification, 10th revision), which replaced ICD-9-CM in the US on 1 October 2015.	Appropriateness of outpatient antibiotic prescribing among privately insured US patients: ICD-10-CM based cross sectional study
60	00060_Association_of_Race_Ethnicity_and_Sex_With_Differences_in_Health_Care_Use_and_Treatment_for_Acne.csv	John S. Barbieri	2020	Thus, the purpose of this study was to identify potential disparities in acne care by evaluating the associations between health care use and prescribing patterns for acne and patient-level factors, such as race/ethnicity, sex, and other sociodemographic factors, among a US cohort of patients.	Association of Race/Ethnicity and Sex With Differences in Health Care Use and Treatment for Acne
61	00061_Characterizing_Health_Outcomes_in_Idiopathic_Pulmonary_Fibrosis_using_US_Health_Claims_Data.csv	Kathleen M. Mortimer	2020	This study aimed to identify the burden of disease in patients newly diagnosed with IPF.	Characterizing Health Outcomes in Idiopathic Pulmonary Fibrosis using US Health Claims Data
62	00062_Cost_Burden_of_Treatment-Resistant_Depression___Psychiatrist.com.csv	Tony B. Amos	2018	To evaluate health care resource utilization (HRU) and costs, work loss, indirect costs, and employment status change in TRD.	Direct and Indirect Cost Burden and Change of Employment Status in Treatment-Resistant Depression: A Matched-Cohort Study Using a US Commercial Claims Database
63	00063_Diagnostic_Category_Prevalence_in_3_Classification_Systems_Across_the_Transition_to_the_International_Classification_of_Diseases,_Tenth_Revision,_Clinical_Modification.csv	Randall P. Ellis	2020	To assess changes in diagnostic category prevalence associated with the ICD-10-CM transition	Diagnostic Category Prevalence in 3 Classification Systems Across the Transition to the International Classification of Diseases, Tenth Revision, Clinical Modification
64	00064_EHF2-6-10.csv	Brandon K. Martinez	2018	We assessed the real-world effectiveness and safety of rivaroxaban and warfarin in NVAF patients with co-morbid HF.	"Effectiveness and safety of rivaroxaban vs. warfarin in
patients with non-valvular atrial ?brillation and heart failure"
65	00065_Evaluation_of_a_Diabetes_Self-Management_Program__Claims_Analysis_on_Comorbid_Illnesses,_Health_Care_Utilization,_and_Cost.csv	Ralph M Turner	2018	The aim of this study was to evaluate the impact of the Better Choices Better Health Diabetes (BCBH-D) self-management program on comorbid illness related to diabetes mellitus, health care utilization, and cost.	Evaluation of a Diabetes Self-Management Program: Claims Analysis on Comorbid Illnesses, Health Care Utilization, and Cost
66	00066_HEP4-4-1404.csv	Vinod K. Rustgi	2020	Our main objective was to quantify the cost and health care burdens of CKD in the context of the overall CLD spectrum and various CLD subgroups using real-world claims data.	Health Care Resource Use and Cost Burden of Chronic Kidney Disease in Patients With Chronic Liver Disease: A Real-World Claims Analysis
67	00067_IJDA_9_1750419.csv	David S. Carrella	2020	The objective of this study was to use a moderate amount of manually-curated gold standard data to develop a computable algorithm that accurately identified patients experiencing problem prescription opioid use, and to use this algorithm to generate gold standard data to support epidemiologic investigations among a collection of 11 PMR studies	Measuring problem prescription opioid use among patients receiving long-term opioid analgesic treatment: development and evaluation of an algorithm for use in EHR and claims data
68	00068_Implementation_of_a_Health_Plan_Program_for_Switching_From_Analogue_to_Human_Insulin_and_Glycemic_Control_Among_Medicare_Beneficiaries_With_Type_2_Diabetes.csv	Jing Luo, MD, MPH	2019	The goal of this study was to evaluate the association between this intervention and clinical outcomes, including hemoglobin A1c (HbA1c) levels and serious hypoglycemic and hyperglycemic events, as well as economic measures, including the proportion ofmembers who reached the Medicare Part D coverage gap and total spending on insulin products.	Implementation of a Health Plan Program for Switching From Analogue to Human Insulin and Glycemic Control Among Medicare Beneficiaries With Type 2 Diabetes
69	00069_Incidence_and_Trends_of_Sepsis_in_US_Hospitals_Using_Clinical_vs_Claims_Data,_2009-2014.csv	Chanu Rhee	2017	To estimate the US national incidence of sepsis and trends using detailed clinical data from the electronic health record (EHR) systems of diverse hospitals.	Incidence and Trends of Sepsis in US Hospitals Using Clinical vs Claims Data, 2009-2014
70	00070_JAH3-9-e015089.csv	Nemin Chen	2020	To address existing gaps in the literature and to inform future guidelines for AF treatment in older adults, we evaluated the association of polypharmacy with adverse outcomes and interactions between polypharmacy and AF treatments in a large sample of AF patients aged ≥75  years identified in a healthcare claims database.	Polypharmacy, Adverse Outcomes, and Treatment Effectiveness in Patients ?75 With Atrial Fibrillation
71	00071_JAH3-9-e015910.csv	Naomi C. Sacks	2020	The objectives of this analysis were to assess whether, and the extent to which, diagnosis, treatment, HRU, and expenditures differ for women versus men with newly diagnosed PSVT.	Disparities in the Management of Newly Diagnosed Paroxysmal Supraventricular Tachycardia for Women Versus Men in the United States
72	00072_JCE2019-1938952.csv	D. B. Esposito	2019	The purpose of this study was to develop and validate an algorithm for identification of endometrial adenocarcinoma using a health insurance claims database.	Development and Validation of an Algorithm to Identify Endometrial Adenocarcinoma in US Administrative Claims Data
73	00073_JIAS-17-19538.csv	Farr, Amanda M	2014	This study compared persistence (time to switch/discontinuation) to therapy between ATV-treated and DRV-treated patients with human immunodeficiency virus (HIV).	No difference in persistence to treatment with atazanavir or darunavir in HIV patients in a real-world setting
74	00074_NEUROLOGY2015682146.csv	"Piyameth
Dilokthornsakul"	2016	This study aimed to estimate the MS prevalence in the United States using a large-scale national administrative dataset from 2008 to 2012 with multiple algorithms supported by The National MS Society Prevalence Workgroup to identify MS cases	Multiple sclerosis prevalence in the United States commercially insured population
75	00075_NG2019011973.csv	Samuel J. Mackenzie	2020	In this study, we aimed to determine the use of genetic testing among patients who were evaluated by an outpatient neurologist from 2014 to 2016 through targeted analysis of a large set of private insurance claims data.	Genetic testing utilization for patients with neurologic disease and the limitations of claims data
76	00086_[Journal_of_Neurosurgery__Spine]_US_regional_variations_in_rates,_outcomes,_and_costs_of_spinal_arthrodesis_for_lumbar_spinal_stenosis_in_working_adults_aged_40–65_years.csv	Micheal Raad	2018	The purpose of this study was to investigate geographic variations in the treatment of LSS by US region	US regional variations in rates, outcomes, and costs of spinal arthrodesis for lumbar spinal stenosis in working adults aged 40–65 years
77	00087_aasm.37.3.439.csv	Maurice M. Ohayon	2014	The objective of this study was to use a large, integrated database to characterize the mortality rate in narcolepsy relative to those who do not have narcolepsy.	Increased Mortality in Narcolepsy
78	00088_ahdb-06-073.csv	Patricia Sacco	2013	To analyze the direct costs associated with healthcare and medication utilization for patients with FXS by using commercial and Medicare/Medicaid administrative claims data.	The Economic Burden of Fragile X Syndrome: Healthcare Resource Utilization in the United States
79	00089_ahdb-08-93.csv	Yin Wan	2015	The objective of our study was to estimate the healthcare resource utilization and costs associated with OIC among patients who are receiving an opioid long term for noncancer pain. To better understand the economic burden among various populations, 3 subpopulations were involved in our analysis, including nonelderly patients, elderly patients, and patients who received opioids in long-term care facilities.	Economic Burden of Opioid-Induced Constipation Among Long-Term Opioid Users with Noncancer Pain
80	00090_ahdb-09-023.csv	Helen Blumen	2016	The purpose of the current retrospective claims data analysis was to quantify the stage-dependent average per capita cost of breast cancer treatment for a commercially insured population of women with newly diagnosed breast cancer.	Comparison of Treatment Costs for Breast Cancer, by Tumor Stage and Type of Service
81	00091_ahdb-10-113.csv	Todd Williamson	2017	To describe the rate of treatment discontinuation resulting from adverse events and the associated healthcare costs among patients with rosacea who are receiving a topical medication.	Rate of Adverse Events and Healthcare Costs Associated with the Topical Treatment of Rosacea
82	00092_ahdb-10-202.csv	Kathryn Fitch	2017	To quantify the burden of hyperkalemia in US Medicare fee-for-service and commercially insured populations using real-world claims data, focusing on prevalence, comorbidities, mortality, medical utilization, and cost.	The Clinical and Economic Burden of Hyperkalemia on Medicare and Commercial Payers
83	00093_ahdb-12-142.csv	Lonnie Wen	2019	To describe the real-world treatment patterns, healthcare costs, and survival rates of patients with metastatic CRPC and bone metastases who have commercial or Medicare coverage.	Real-World Treatment Patterns in Patients with Castrate-Resistant Prostate Cancer and Bone Metastases
84	00094_ahdb-12-306.csv	Krishna Tangirala	2019	The objective of this study was to compare the inpatient and outpatient costs and healthcare resource utilization of admitted patients with metastatic versus nonmetastatic prostate cancer in the hospital setting.	Costs and Healthcare Resource Utilization Associated with Hospital Admissions of Patients with Metastatic or Nonmetastatic Prostate Cancer
85	00095_bmjdrc-2019-000985.csv	Jeff Yufeng Yang	2019	To address these limitations and to validate evidence behind the FDA warning in a real-world setting, we evaluated the association between SGLT2i initiation and FG risk in a large healthcare administrative claims database from the commercially insured US population, using an active-comparator, new-user (ACNU) study design.	Real-­world evidence on sodium-­glucose cotransporter-2 inhibitor use and risk of Fournier’s gangrene
86	00096_bmjopen-2018-022854.csv	Jasvinder A Singh	2018	The hallmarks of gout are hyperuricaemia and urate crystal formation that are associated with inflammation and oxidative stress, pathological processes which are also implicated in the pathogenesis of hearing loss. Based on this similarity in pathogenesis, we hypothesised that gout in the elderly will be independently associated with a higher risk of new-onset hearing loss after adjusting for known risk factors, and that this association will vary by important biological variables, such as age, sex and race. 	Gout and hearing impairment in the elderly: a retrospective cohort study using the US Medicare claims data
87	00097_bmjopen-2020-039297.csv	Ho-­sun Ryu	2020	To provide useful information for policymakers and clinicians by analysing the medical service use—divided into Western medicine (WM) and Korean medicine (KM)—of patients with ankle sprains in South Korea between 2015 and 2017	Analysis of medical services provided to patients with ankle sprains in Korea between 2015 and 2017: a cross-­sectional study of the health insurance review and assessment service national patient sample database
88	00098_bmjopen-2020-041167.csv	Sarah K Chen	2020	The objective of this study was to describe the patterns of pegloticase treatment in a real-world cohort of patients with gout and the incidence of safety outcomes with its use.	Real-­world patterns of pegloticase use for treatment of gout: descriptive multidatabase cohort study
89	00099_ceor-10-213.csv	Ahmed Shelbaya	2018	This study aimed to evaluate the characteristics associated with early versus late initiation of celecoxib treatment after osteoarthritis (OA) diagnosis and whether economic and safety outcomes differ between patients with early versus late initiation of celecoxib.	The economic and clinical burden of early versus late initiation of celecoxib among patients with osteoarthritis
